First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
Justin,Turri,M,12,Chrome,5,0,0,0,0,0,0,2,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin,Guterding,A,14,Chrome,5,16,10,10,10,0,6,32,0.3125,21,0.65625,3,0,2,0.6666666666666666,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Wolf,A,33,Chrome,5,18,10,10,10,0,8,32,0.3125,20,0.625,0,0,0,0,8,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jordan,MacIntosh,M,29,Chrome,5,9,8,8,8,0,1,22,0.36363636363636365,13,0.5909090909090909,6,0,3,0.5,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
John,Ranagan,M,31,Chrome,5,6,4,4,4,0,2,18,0.2222222222222222,9,0.5,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John,Galloway,G,15,Chrome,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,6,0,0,0,0,0,0,12.7512971290211,68,0.544,64,7,0,0,0,0,0,0,0,0,0
Drew,Simoneau,FO,5,Waterdogs,5,2,2,2,2,0,0,2,1,2,1,0,0,0,0,2,1,11,0,0,0.5471698113207547,29,24,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett,Queener,G,23,Chrome,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Grill,D,8,Waterdogs,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor,Baptiste,FO,9,Atlas,5,1,1,1,1,0,0,3,0.3333333333333333,2,0.6666666666666666,0,0,0,0,1,2,22,0,0,0.5377358490566038,57,49,106,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Steven,DeNapoli,M,7,Waterdogs,5,3,2,1,0,1,1,7,0.14285714285714285,4,0.5714285714285714,4,0.25,2,0.5,1,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,Rodgers,G,42,Atlas,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
